orig_code,dest_code,day,price
CNGGZ,EETLL,2016-01-02,1244
CNGGZ,EETLL,2016-01-02,1140
CNGGZ,EETLL,2016-01-02,1080
CNGGZ,EETLL,2016-01-03,1244
CNGGZ,EETLL,2016-01-03,1140
CNGGZ,EETLL,2016-01-03,1080
CNGGZ,EETLL,2016-01-04,1243
CNGGZ,EETLL,2016-01-04,1140
CNGGZ,EETLL,2016-01-04,1080
CNGGZ,SEGOT,2016-01-01,971
CNGGZ,SEGOT,2016-01-01,1647
CNGGZ,SEGOT,2016-01-02,970
CNGGZ,SEGOT,2016-01-02,1832
CNGGZ,SEGOT,2016-01-02,1646
CNGGZ,SEGOT,2016-01-03,970
CNGGZ,SEGOT,2016-01-03,1832
CNGGZ,SEGOT,2016-01-03,1647
CNGGZ,SEGOT,2016-01-04,969
CNGGZ,SEGOT,2016-01-04,1832
CNGGZ,SEGOT,2016-01-04,1645
